--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		 File is Created at  Fri Jun 20 17:27:33 2025
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 22644, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 22784, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 22840, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 23008, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OmenCommandCenterBackground.exe'} 

{'pid': 23356, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 24136, 'username': None, 'name': 'svchost.exe'} 

{'pid': 24364, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'FileCoAuth.exe'} 

{'pid': 24688, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 24784, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 25140, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'python.exe'} 

{'pid': 25332, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 25408, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 25752, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 25880, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 26032, 'username': None, 'name': 'svchost.exe'} 

{'pid': 26284, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

--------------------------------------------------------------------------------
